,tweet_id,label,tweet_text
0,1.3603420029619405e+18,1,"4 , 000 a day dying from the so called covid - 19 vaccine @ dailybeast reports . # vaccine # pfizervaccine # moderna"
1,1.3828963348862484e+18,2,pranam message for today manifested in dhyan by @ meenapranam # truth # love # karm # light # nature # consciousness # fridaythoughts # fridaymorning # coronavirusindia # covid19india # ? ? ? _ ? ? ? # navratri # thane # ambedkarjayanti2021 # modiji # narendramodi # secondcovidwave # covaxin
2,1.375673411846873e+18,2,"hyderabad - based ? @ bharatbiotech ? has sought funds from the government to ramp up production of its indigenously developed covid - 19 vaccine , # covaxin . the company has written to the ? ? ? @ dbtindia ? seeking rs 100 crore to ramp up ."
3,1.3813109011192873e+18,1,"confirmation that chinese # vaccines "" dont have very high protection rates "" , according to the director of the china centers for disease control , gao fu . # sinovac effectiveness "" found to be as low as 50 . 4 % by researchers in brazil "" ; & lt ; 50 % is ' not useful ' ."
4,1.3621655560911913e+18,3,"lab studies suggest # pfizer , # moderna vaccines can protect against # coronavirusvariant"
5,1.3512850900773233e+18,1,"still want to take the # jab ? # pfizerbiontech # sideeffects 13 israelis suffer facial paralysis after taking pfizer covid jab , amid influx of reports detailing adverse effects"
6,1.377333403666686e+18,2,"this time , aerolneas flight ar1068 goes to moscow to pick up the # sputnikv vaccines . there were about 11 flights between buenos aires ( argentina ) and moscow ( russia ) . ? ? ? follow flight # ar1068 at radarbox : # aerolneasargentinas # vaccines # radarbox"
7,1.3633442210846392e+18,3,"# covaxin effective against mutant virus strains : icmr ? ? ? thanks to dr . @ swamy39 jee & amp ; health minister , dr . harsh vardhan jee for promoting india ' s first indigenous covid vaccine from bharat biotech ! ! ! ? ? ?"
8,1.3725800128224993e+18,3,safe and effective . # oxfordastrazeneca
9,1.3675067538905047e+18,2,the day after the # moderna # covid19vaccine . . . my arm is a little sore and i am a little more fatigued than usual . my grandparents had no noticeable effects though .
10,1.3808425266561147e+18,3,@ syd _ m39 not a girl but part of the # moderna club ?
11,1.3845356262681108e+18,2,when we can get # moderna and # pfitzer vaccine in india ? @ narendramodi @ mohfw _ india
12,1.3815592891023603e+18,2,cameroon receives 200 000 doses of sinopharm covid - 19 vaccine # cameroon # sinopharm # vaccines # covid19
13,1.3828447198482964e+18,2,# india at 216850 new cases of # coronavirus with 1183 deaths in the last 24 hours . # covid19 # covid # covidisairborne # covaxin # covid ? 19 # covid # covidiots # covid19india # coronavirusindia # coronacurfew # corona # worldometer # covishield
14,1.368871727627899e+18,3,@ rachelnotley @ govcanhealth @ cpho _ canada congrats to the amazing scientists who created # coronavirus # vaccines to end the # pandemic . ? ? ? # science # scientists # pfizer # moderna # astrazeneca # janssen # cdnpoli
15,1.3820022832111575e+18,2,# covishield vs # covaxin vs moderna / pfizer science behind covid - 19 vaccines and careers in # vaccineresearch @ im _ sandipan @ pavansomwanshi1 @ sanjibchat @ biomedicalzone @ iambiotech @ fiercebiotech @ sciencenatty @ teamstoodnt
16,1.382904265744683e+18,2,ethealthworld | haffkine institute gets nod to produce covaxin # covaxin # covidvaccine # haffkineinstitute # bharatbiotech # production
17,1.3837877595050025e+18,3,"@ cbcalerts embarrassing crimea russia everything is open business as usual . ontario reporting 4250 cases of # covid19 1392 new cases in toronto # lockdown closed business , church , no family , no hope # mentalhealth canada get out of syria # sputnikv 91 . 6 % effective # jesus"
18,1.3777294267844116e+18,2,officially a # moderna gay ?
19,1.3823758910372536e+18,3,"# breaking : # serbia starts # sputnikv production ! rdif & amp ; institute of virology , vaccines and sera torlak join forces to bring more sputnik v vaccines to the world !"
20,1.3674501869440407e+18,3,good day yesterday ! my 90 year old dad got his second # moderna shot ! such a relief !
21,1.3470516032416113e+18,3,got the # pfizerbiontech vaccine ! ! !
22,1.3820479211604173e+18,2,"abusing # atmanirbhar bharat as a political tool has now forced us to import vaccines , when in 2020 our great government peddled this warped concept to stop approved foreign vaccines from being sold in india while promoting and exporting # covaxin before completing clinical trials"
23,1.3673533886906696e+18,3,"? its been about 10 hrs since i received the 2nd dose of # moderna and i feel fine . i ' m off the next two days , then back to work on saturday . ? # hydrate # vitaminc # rest # selfcare # mindfulness # wellbeing # drinkwater # mywhy # covid19vaccination # igotmyshot"
24,1.381546138973573e+18,3,@ sanket # sputnikv at 91 % efficiency is far ahead of # covishield and # covaxin .
25,1.382174087984816e+18,3,one more to go # firstdosedone # moderna thankful @ sutterhealth @ sccgov
26,1.3828700825151939e+18,2,i got the second dose of my # moderna # vaccine yesterday and so far the only side effect has been ( pretty bad but manageable ) soreness in the injected arm .
27,1.3733390400370483e+18,3,"just got my 2nd # moderna shot . my mom & amp ; grandma got # johnsonandjohnson & amp ; # pfizer . we 3 have deathly allergies , but had zero # allergic or adverse reactions ! dont let allergies stop you from getting the # covid19vaccine"
28,1.3675992584556544e+18,2,especially because we lack data on # johnsonandjohnson vaccine efficacy specifically against the # b117 variant which is fueling the current surge . there is precedent to granting eua before final data from phase 3 is available as in # sputnikv and # covaxin . @ aslavitt46 @ us _ fda
29,1.3498888471366164e+18,3,it happened ! ! ! # covidvaccine # pfizerbiontech # igotmyvaccineatuhn # uhn
30,1.3824514384885965e+18,2,got my first dose of the moderna vaccine . im not sure its working - jeff bezos hasnt sent in my check . is this thing on ? ? ? # sarcasm # getvaccinated # moderna # covid19vaccine
31,1.3831733534610186e+18,2,"tricares # gotyour6 ! the safety of you and your family are our top priority . on april 19 , # pfizer and # moderna vaccine appointments will be open to all who are eligible and authorized to receive a vaccine at @ deptofdefense sites . visit : # covidvaccine"
32,1.3818941135413207e+18,2,russia ' s covid vaccine sputnik v has been cleared for emergency use by the drugs controller general of india . # sputnikv # covid19 # russia # india # emergency # emergencymedicine
33,1.3840841224029102e+18,3,"@ catcheronthesly let us change the goal post . so now this is between you and me and not related to cong or mms yes , like covaxin , they should have given emergency approval to # sputnikv and maybe others and should have allowed people to pay and get # vaccinated with # vaccine of their choice"
34,1.3815808114266644e+18,2,"# sputnikv gets approval within 2 days of @ rahulgandhi ' s suggestion of fast tracking approval of other vaccines as per norms ! after mocking @ rahulgandhi , modi govt does exactly what he suggested . resignation prasad should apologise and resign now !"
35,1.374478039719895e+18,3,just got my first vaccine ! ! ! # moderna mahalo to @ hawaiidoh for running such a smooth clinic in kona ! # covidvaccine
36,1.3749743571312517e+18,2,# sinovac vaccine for 22 provinces @ bangkokpostnews # thailand
37,1.3594533122406523e+18,2,"# mediafocus # hungary is set to receive its first shipment of the chinese coronavirus jab # sinopharm by the end of the month , dailymail reported . # vaccine # china"
38,1.3391833725607076e+18,3,"starting today , a new chapter begins at my hospital @ maimonidesmc filled with hopes to end dark covid times & amp ; joy of celebrating life . # covidvaccine # pfizerbiontech # mrnavaccine # covidends"
39,1.38155183027089e+18,2,"dcgi will decide on the sec recommendation for # sputnikv dr reddy ' s , which has collaborated with russia ' s sovereign fund rdif , conducted the bridge trial for sputnik v and has applied for emergency use . if approved by dcgi , this will be the third vaccine to be available in india"
40,1.3838144110144594e+18,3,researchers said the risk of cerebral venous thrombosis from the # covid was approximately : ? 10 times higher compared to messenger rna vaccines . ? 8 times higher compared to the # oxfordastrazeneca vaccine
41,1.3675289090891612e+18,2,well this should decide the first country to send left - over uk # oxfordastrazeneca + other vaccines to . our good friends in # australia . allies . 5 eyes . family ties .
42,1.3821430415704433e+18,3,just got my second # moderna # covid19 shot . it was empty thursday opens to everyone . go # getvaccinated # covidvaccine # covid19vaccination its everybody turn now .
43,1.383892987063591e+18,2,this guy just got his first dose of the moderna vaccine today ! i am now halfway closer to getting back to lawrence ! # moderna # sleeveupjoco
44,1.3829920466848358e+18,2,anti - # covid19 update : ? ? ? india becomes 6 ? ? ? 0 ? ? ? th country to authorise use of @ sputnikvaccine ; ? india set to produce 5 ? ? ? 0 ? ? ? mln doses of ? ? ? # vaccine per month by summer ; ? ? ? serbia starts # sputnikv production . # staysafe # stopcovid19
45,1.3843198336306463e+18,2,"@ lindainlight @ normanswan # astrazenica has substantially lower efficacy than # pfizer or # moderna while blood clot deaths are rare , there have been some across all age groups vaccinated , including those aged 55 +"
46,1.371358829565317e+18,3,"the astrazeneca vaccine causing blood clots ? ! what such nonsense ! ? my mother had her shot of it two weeks ago and only got a headache and fatigue after it , and is now right as rein ! ? # covidvaccine # oxfordastrazeneca"
47,1.3749869107628564e+18,2,"global # covid19 cases have surpassed 124 million , with over 2 . 7 million deaths . the # us remains the worst - hit nation , its cases have topped 30 million . # zimbabwean president emmerson mnangagwa has received his first shot of china # sinovac vaccine ."
48,1.3829183582790203e+18,2,modi government go ahead in production of # covaxin to # maharashtra govt it ' s # bharatbiotech vaccine now said company too can produce but this also will take time
49,1.3766533798631588e+18,3,". . . and in other news , just got my first dose of the modern covid - 19 vaccination . tiny needle , didn ' t feel a thing , and i ' m feeling absolutely fine afterwards . take * that * , you evil little bastard . # moderna # covid19vaccine"
